Player,Season,Age,Team,RushAtt,RushYds,RushTD,Pos,ID
Zamir White,2024,25,LVR,65,183,1,RB,WhitZa01
Trey Benson,2024,21,ARI,63,291,1,RB,BensTr01
Pierre Strong,2023,25,CLE,63,291,1,RB,StroPi00
Justin Fields,2024,25,PIT,62,289,5,QB,FielJu00
Mark Ingram,2022,33,NOR,62,233,1,RB,IngrMa01
Trevor Lawrence,2022,23,JAX,62,291,5,QB,LawrTr00
Baker Mayfield,2023,28,TAM,62,163,1,QB,MayfBa00
Patrick Mahomes,2022,27,KAN,61,358,4,QB,MahoPa00
Cam Akers,2023,24,MINLAR,60,167,2,RB,AkerCa00
Baker Mayfield,2024,29,TAM,60,378,3,QB,MayfBa00
Blake Corum,2024,24,LAR,58,207,0,RB,CoruBl00
Emari Demercado,2023,24,ARI,58,284,2,RB,DemeEm00
Patrick Mahomes,2024,29,KAN,58,307,2,QB,MahoPa00
Rashaad Penny,2022,26,SEA,57,346,2,RB,PennRa00
Ty Chandler,2024,26,MIN,56,182,0,RB,ChanTy01
Trey Sermon,2024,25,IND,56,159,2,RB,SermTr00
Carson Steele,2024,22,KAN,56,183,0,RB,SteeCa00
Matt Breida,2023,28,NYG,55,151,1,RB,BreiMa00
Roschon Johnson,2024,23,CHI,55,150,6,RB,JohnRo07
Jeremy McNichols,2024,29,WAS,55,261,4,RB,McNiJe00
Kenny Pickett,2022,24,PIT,55,237,3,QB,PickKe00
Dak Prescott,2023,30,DAL,55,242,2,QB,PresDa01
Miles Sanders,2024,27,CAR,55,205,2,RB,SandMi01
Russell Wilson,2022,34,DEN,55,277,3,QB,WilsRu00
Matt Breida,2022,27,NYG,54,220,1,RB,BreiMa00
Justin Herbert,2022,24,LAC,54,147,0,QB,HerbJu00
Drake Maye,2024,22,NWE,54,421,2,QB,MayeDr00
Boston Scott,2022,27,PHI,54,217,3,RB,ScotBo02
Kenneth Gainwell,2022,23,PHI,53,240,4,RB,GainKe00
Samaje Perine,2023,28,DEN,53,238,1,RB,PeriSa00
Desmond Ridder,2023,24,ATL,53,193,5,QB,RiddDe00
Geno Smith,2024,34,SEA,53,272,2,QB,SmitGe00
Justin Herbert,2023,25,LAC,52,228,3,QB,HerbJu00
C.J. Stroud,2024,23,HOU,52,233,0,QB,StroCJ00
Chris Rodriguez,2023,23,WAS,51,247,2,RB,RodrCh00
Tank Bigsby,2023,22,JAX,50,132,2,RB,BigsTa00
Jordan Love,2023,25,GNB,50,247,4,QB,LoveJo03
Christian McCaffrey,2024,28,SFO,50,202,0,RB,McCaCh01
Cordarrelle Patterson,2023,32,ATL,50,181,0,RB,PattCo00
Sean Tucker,2024,23,TAM,50,308,2,RB,TuckSe00
Jacoby Brissett,2022,30,CLE,49,243,2,QB,BrisJa00
Chase Edmonds,2023,27,TAM,49,176,0,RB,EdmoCh00
Justice Hill,2022,25,BAL,49,262,0,RB,HillJu00
Sam Howell,2023,23,WAS,48,263,5,QB,HoweSa00
Jamaal Williams,2024,29,NOR,48,164,1,RB,WillJa06
Justice Hill,2024,27,BAL,47,228,1,RB,HillJu00
Mac Jones,2022,24,NWE,47,102,1,QB,JoneMa05
Keaton Mitchell,2023,21,BAL,47,396,2,RB,MitcKe01
Javonte Williams,2022,22,DEN,47,204,0,RB,WillJa10
Jamycal Hasty,2022,26,JAX,46,194,2,RB,HastJa02
Darrell Henderson,2023,26,LAR,46,112,2,RB,HendDa00
Will Levis,2024,25,TEN,45,183,0,QB,LeviWi00
Elijah Mitchell,2022,24,SFO,45,279,2,RB,MitcEl00
Dak Prescott,2022,29,DAL,45,182,1,QB,PresDa01
Chase Brown,2023,23,CIN,44,179,0,RB,BrowCh10
Kyler Murray,2023,26,ARI,44,244,3,QB,MurrKy00
Tyler Huntley,2022,24,BAL,43,137,1,QB,HuntTy01
Jordan Mason,2022,23,SFO,43,258,1,RB,MasoJo00
Kimani Vidal,2024,23,LAC,43,155,0,RB,VidaKi00
Russell Wilson,2024,36,PIT,43,155,2,QB,WilsRu00
Bryce Young,2024,23,CAR,43,249,6,QB,YounBr01
Joe Burrow,2024,28,CIN,42,201,2,QB,BurrJo01
Justin Jackson,2022,26,DET,42,170,1,RB,JackJu01
Dare Ogunbowale,2022,28,HOU,42,123,1,RB,OgunDa00
Kenny Pickett,2023,25,PIT,42,54,1,QB,PickKe00
Deebo Samuel,2022,26,SFO,42,232,3,WR,SamuDe00
Deebo Samuel,2024,28,SFO,42,136,1,WR,SamuDe00
