Player,Season,Age,Team,Tgt,Rec,RecYds,RecTD,Pos,ID
Brandin Cooks,2024,31,DAL,54,26,259,3,WR,CookBr00
James Cook,2023,24,BUF,54,44,445,4,RB,CookJa01
Chuba Hubbard,2024,25,CAR,54,43,171,1,RB,HubbCh01
Josh Jacobs,2023,25,LVR,54,37,296,0,RB,JacoJo01
Foster Moreau,2022,25,LVR,54,33,420,2,TE,MoreFo00
Nelson Agholor,2022,29,NWE,53,31,362,2,WR,AghoNe00
Troy Franklin,2024,21,DEN,53,28,263,2,WR,FranTr00
Najee Harris,2022,24,PIT,53,41,229,3,RB,HarrNa00
Brenton Strange,2024,24,JAX,53,40,411,2,TE,StraBr00
Tyrone Tracy Jr.,2024,25,NYG,53,38,284,1,RB,TracTy00
Kenneth Walker III,2024,24,SEA,53,46,299,1,RB,WalkKe00
Christian Watson,2023,24,GNB,53,28,422,5,WR,WatsCh00
Christian Watson,2024,25,GNB,53,29,620,2,WR,WatsCh00
Justin Watson,2023,27,KAN,53,27,460,3,WR,WatsJu01
DJ Chark,2022,26,DET,52,30,502,3,WR,CharDJ00
Zach Charbonnet,2024,23,SEA,52,42,340,1,RB,CharZa00
Travis Etienne,2024,25,JAX,52,39,254,0,RB,EtieTr00
Mike Gesicki,2022,27,MIA,52,32,362,5,TE,GesiMi00
Dallas Goedert,2024,29,PHI,52,42,496,2,TE,GoedDa00
Bucky Irving,2024,22,TAM,52,47,392,0,RB,IrviBu00
Marvin Mims,2024,22,DEN,52,39,503,6,WR,MimsMa00
Joe Mixon,2024,28,HOU,52,36,309,1,RB,MixoJo00
Allen Robinson,2022,29,LAR,52,33,339,3,WR,RobiAl02
Devin Singletary,2022,25,BUF,52,38,280,1,RB,SingDe00
D'Andre Swift,2024,25,CHI,52,42,386,0,RB,SwifDA00
KaVontae Turpin,2024,28,DAL,52,31,420,2,WR,TurpKa00
